
[Name]
dingzi_wall_tie

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
3.85391265e-002, -1.24482159e-002, 1.75472692e-001, 3.16671753e+002
3.77393998e-002, -1.32574895e-002, 1.75472692e-001, 3.16805695e+002
3.84512693e-002, -1.35488482e-002, 1.75472692e-001, 3.16981354e+002
3.73994894e-002, -1.41880410e-002, 1.75472692e-001, 3.17311432e+002
3.83634120e-002, -1.46494806e-002, 1.75472692e-001, 3.17695435e+002
3.76144201e-002, -1.58749614e-002, 1.75472692e-001, 3.18496338e+002
3.82755548e-002, -1.57501120e-002, 1.75472692e-001, 3.18355469e+002
3.62430066e-002, -1.69252157e-002, 1.75472692e-001, 3.19278290e+002
3.67290787e-002, -1.77573860e-002, 1.75472692e-001, 3.19663422e+002
3.71844731e-002, -1.68592408e-002, 1.75472692e-001, 3.19220428e+002
3.66510600e-002, -1.60224661e-002, 1.75472692e-001, 3.18733551e+002
3.76876965e-002, -1.77167710e-002, 1.75472692e-001, 3.19874451e+002
3.81876938e-002, -1.68507453e-002, 1.75472692e-001, 3.19573853e+002
3.62592079e-002, -1.86364651e-002, 1.75472692e-001, 3.19903564e+002
3.58127169e-002, -1.78175829e-002, 1.75472692e-001, 3.19637115e+002
3.71876955e-002, -1.85827948e-002, 1.75472692e-001, 3.20211945e+002
3.53604630e-002, -1.86990201e-002, 1.75472692e-001, 3.19829193e+002
3.70366350e-002, -1.51098883e-002, 1.75472692e-001, 3.18076019e+002
3.80561650e-002, -1.23188067e-002, 1.75472692e-001, 3.16640961e+002
3.93237285e-002, 7.32733821e-003, 1.75472692e-001, 3.16777374e+002
4.00745161e-002, 7.49181211e-003, 1.75472692e-001, 3.16934601e+002
3.96002866e-002, 8.48891679e-003, 1.75472692e-001, 3.16631195e+002
4.05487418e-002, 6.49470743e-003, 1.75472692e-001, 3.17540863e+002
3.95029038e-002, 6.29009586e-003, 1.75472692e-001, 3.17364410e+002
4.10229713e-002, 5.49760321e-003, 1.75472692e-001, 3.18231689e+002
3.96547243e-002, 5.24849771e-003, 1.75472692e-001, 3.18056976e+002
4.05192114e-002, 4.65976866e-003, 1.75472692e-001, 3.18637329e+002
3.97790819e-002, 4.20326553e-003, 1.75472692e-001, 3.18783020e+002
4.06445861e-002, 3.81264510e-003, 1.75472692e-001, 3.19226440e+002
4.14972007e-002, 4.50049853e-003, 1.75472692e-001, 3.19399506e+002
4.07661125e-002, 2.17995286e-004, 1.75472692e-001, 3.20059937e+002
4.14972007e-002, 5.00498398e-004, 1.75472692e-001, 3.20330353e+002
4.08930965e-002, 1.02155830e-003, 1.75472692e-001, 3.20019104e+002
4.07494828e-002, 1.83377753e-003, 1.75472692e-001, 3.19895752e+002
3.99866365e-002, 1.05301151e-003, 1.75472692e-001, 3.19863403e+002
4.00004871e-002, 4.98398890e-007, 1.75472692e-001, 3.19947968e+002
4.14972007e-002, 3.50049837e-003, 1.75472692e-001, 3.20005219e+002
4.07004841e-002, 2.82028411e-003, 1.75472692e-001, 3.19669495e+002
4.14972007e-002, 2.50049843e-003, 1.75472692e-001, 3.20166656e+002
4.14972007e-002, 1.50049839e-003, 1.75472692e-001, 3.20187225e+002
3.98758948e-002, 3.15512298e-003, 1.75472692e-001, 3.19340546e+002
3.99450958e-002, 2.10479577e-003, 1.75472692e-001, 3.19684509e+002
3.99866365e-002, -1.05201476e-003, 1.75472692e-001, 3.19924652e+002
4.07280810e-002, -1.79155555e-003, 1.75472692e-001, 3.19967377e+002
4.07447815e-002, -7.71137653e-004, 1.75472692e-001, 3.20068359e+002
4.14972007e-002, -1.49950164e-003, 1.75472692e-001, 3.20251282e+002
4.14972007e-002, -4.99501592e-004, 1.75472692e-001, 3.20380737e+002
4.06444296e-002, -3.81100271e-003, 1.75472692e-001, 3.19235931e+002
4.06981632e-002, -2.81333760e-003, 1.75472692e-001, 3.19717010e+002
3.98758948e-002, -3.15412623e-003, 1.75472692e-001, 3.19360779e+002
3.99450958e-002, -2.10379902e-003, 1.75472692e-001, 3.19761902e+002
4.14972007e-002, -3.49950162e-003, 1.75472692e-001, 3.19972687e+002
4.14972007e-002, -2.49950169e-003, 1.75472692e-001, 3.20170624e+002
3.97790819e-002, -4.20226855e-003, 1.75472692e-001, 3.18755524e+002
4.05192040e-002, -4.65871952e-003, 1.75472692e-001, 3.18607025e+002
4.14972007e-002, -4.49950155e-003, 1.75472692e-001, 3.19218445e+002
3.96547243e-002, -5.24750073e-003, 1.75472692e-001, 3.17977020e+002
4.10229713e-002, -5.49660623e-003, 1.75472692e-001, 3.18157898e+002
3.93237285e-002, -7.32634170e-003, 1.75472692e-001, 3.16540436e+002
4.00745161e-002, -7.49081559e-003, 1.75472692e-001, 3.16710114e+002
3.95029038e-002, -6.28909888e-003, 1.75472692e-001, 3.17201630e+002
3.91173251e-002, -8.35851021e-003, 1.75472692e-001, 3.16338684e+002
3.96002866e-002, -8.48792028e-003, 1.75472692e-001, 3.16366302e+002
4.05487418e-002, -6.49371091e-003, 1.75472692e-001, 3.17393860e+002
3.91173251e-002, 8.35950766e-003, 1.75472692e-001, 3.16606506e+002
3.00507098e-002, 2.71515846e-002, 1.75472692e-001, 3.16780518e+002
3.03516984e-002, 2.60543637e-002, 1.75472692e-001, 3.16903259e+002
3.09599563e-002, 2.65251808e-002, 1.75472692e-001, 3.17064606e+002
3.09876222e-002, 2.52947155e-002, 1.75472692e-001, 3.17381317e+002
3.18692029e-002, 2.58987769e-002, 1.75472692e-001, 3.17746521e+002
3.25560048e-002, 2.46373918e-002, 1.75472692e-001, 3.18497009e+002
3.27784494e-002, 2.52723731e-002, 1.75472692e-001, 3.18366211e+002
3.37435603e-002, 2.29294524e-002, 1.75472692e-001, 3.19591309e+002
3.31934392e-002, 2.37729065e-002, 1.75472692e-001, 3.19191620e+002
3.27798426e-002, 2.29245834e-002, 1.75472692e-001, 3.19237457e+002
3.22020687e-002, 2.37293448e-002, 1.75472692e-001, 3.18723816e+002
3.41876931e-002, 2.37799454e-002, 1.75472692e-001, 3.19975128e+002
3.36876959e-002, 2.46459693e-002, 1.75472692e-001, 3.19411316e+002
3.47836539e-002, 2.12303437e-002, 1.75472692e-001, 3.19824066e+002
3.42699289e-002, 2.20829900e-002, 1.75472692e-001, 3.19780212e+002
3.38747315e-002, 2.12733783e-002, 1.75472692e-001, 3.19681946e+002
3.33375148e-002, 2.21057609e-002, 1.75472692e-001, 3.19551270e+002
3.51876952e-002, 2.20478941e-002, 1.75472692e-001, 3.20149231e+002
3.46876942e-002, 2.29139198e-002, 1.75472692e-001, 3.20016144e+002
3.52866054e-002, 2.03714259e-002, 1.75472692e-001, 3.19813782e+002
3.48865166e-002, 1.95699837e-002, 1.75472692e-001, 3.19669006e+002
3.57789285e-002, 1.95064135e-002, 1.75472692e-001, 3.19731415e+002
3.43911722e-002, 2.04279460e-002, 1.75472692e-001, 3.19701447e+002
3.61876935e-002, 2.03158427e-002, 1.75472692e-001, 3.20110626e+002
3.56876962e-002, 2.11818684e-002, 1.75472692e-001, 3.20149017e+002
3.67283151e-002, 1.77576505e-002, 1.75472692e-001, 3.19334717e+002
3.62602510e-002, 1.86354034e-002, 1.75472692e-001, 3.19582001e+002
3.58127169e-002, 1.78185795e-002, 1.75472692e-001, 3.19315491e+002
3.53604630e-002, 1.87000167e-002, 1.75472692e-001, 3.19526123e+002
3.66876945e-002, 1.94498170e-002, 1.75472692e-001, 3.19941132e+002
3.71876955e-002, 1.85837932e-002, 1.75472692e-001, 3.19850555e+002
3.71698216e-002, 1.68688111e-002, 1.75472692e-001, 3.18902008e+002
3.62430066e-002, 1.69262122e-002, 1.75472692e-001, 3.18965027e+002
3.76876965e-002, 1.77177675e-002, 1.75472692e-001, 3.19523041e+002
3.66510600e-002, 1.60234626e-002, 1.75472692e-001, 3.18437286e+002
3.70366350e-002, 1.51108848e-002, 1.75472692e-001, 3.17803894e+002
3.75088714e-002, 1.59490984e-002, 1.75472692e-001, 3.18237701e+002
3.82755548e-002, 1.57511085e-002, 1.75472692e-001, 3.17985901e+002
3.77187468e-002, 1.51228905e-002, 1.75472692e-001, 3.17658875e+002
3.81876938e-002, 1.68517418e-002, 1.75472692e-001, 3.19097504e+002
3.73994894e-002, 1.41890375e-002, 1.75472692e-001, 3.17170105e+002
3.84512693e-002, 1.35498447e-002, 1.75472692e-001, 3.16724030e+002
3.83634120e-002, 1.46504771e-002, 1.75472692e-001, 3.17329742e+002
3.85391265e-002, 1.24492124e-002, 1.75472692e-001, 3.16407349e+002
3.77393998e-002, 1.32584870e-002, 1.75472692e-001, 3.16553894e+002
3.80561650e-002, 1.23198032e-002, 1.75472692e-001, 3.16379517e+002
3.16045396e-002, 2.45195497e-002, 1.75472692e-001, 3.18103546e+002
2.96971556e-002, 2.67980304e-002, 1.75472692e-001, 3.16751221e+002
