
[Name]
commenface_dingzi_waike

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
5.12161329e-002, -3.12558189e-002, 1.65651262e-001, 3.01097534e+002
5.23235239e-002, -2.93644425e-002, 1.65651262e-001, 3.01110870e+002
5.23235165e-002, -2.93644574e-002, 1.67615548e-001, 3.00891327e+002
5.23235351e-002, -2.93644238e-002, 1.61722690e-001, 3.01432037e+002
5.23235276e-002, -2.93644331e-002, 1.63686976e-001, 3.01302643e+002
5.12161404e-002, -3.12558077e-002, 1.61722690e-001, 3.01428101e+002
5.12161367e-002, -3.12558115e-002, 1.63686976e-001, 3.01300293e+002
5.33610806e-002, -2.74339132e-002, 1.67615548e-001, 3.00872833e+002
5.33610880e-002, -2.74338964e-002, 1.65651262e-001, 3.01089417e+002
5.33610955e-002, -2.74338853e-002, 1.63686976e-001, 3.01277100e+002
5.52212894e-002, -2.34657060e-002, 1.67615548e-001, 3.00773468e+002
5.43274432e-002, -2.54667699e-002, 1.65651262e-001, 3.01047455e+002
5.52212968e-002, -2.34656930e-002, 1.65651262e-001, 3.00978058e+002
5.43274358e-002, -2.54667867e-002, 1.67615548e-001, 3.00833740e+002
5.43274544e-002, -2.54667439e-002, 1.61722690e-001, 3.01345367e+002
5.52213080e-002, -2.34656651e-002, 1.61722690e-001, 3.01280518e+002
5.52213006e-002, -2.34656781e-002, 1.63686976e-001, 3.01157715e+002
5.43274470e-002, -2.54667569e-002, 1.63686976e-001, 3.01223145e+002
5.33610992e-002, -2.74338741e-002, 1.61722690e-001, 3.01404083e+002
5.23234829e-002, -2.93645132e-002, 1.71544120e-001, 3.00478363e+002
5.23234345e-002, -2.93646026e-002, 1.73508406e-001, 3.00224518e+002
5.12161031e-002, -3.12558711e-002, 1.71544120e-001, 3.00468903e+002
5.12160584e-002, -3.12559418e-002, 1.73508391e-001, 3.00217163e+002
5.23233414e-002, -2.93648597e-002, 1.75472692e-001, 3.01402740e+002
5.23235016e-002, -2.93644797e-002, 1.69579834e-001, 3.00689087e+002
5.12161255e-002, -3.12558301e-002, 1.67615548e-001, 3.00884613e+002
5.12161180e-002, -3.12558487e-002, 1.69579834e-001, 3.00680206e+002
5.43274097e-002, -2.54668407e-002, 1.71544120e-001, 3.00411621e+002
5.52212708e-002, -2.34657489e-002, 1.71544135e-001, 3.00356232e+002
5.52212410e-002, -2.34658252e-002, 1.73508421e-001, 3.00111298e+002
5.52211739e-002, -2.34660581e-002, 1.75472692e-001, 3.01049713e+002
5.43273613e-002, -2.54669413e-002, 1.73508406e-001, 3.00160614e+002
5.33610508e-002, -2.74339728e-002, 1.71544120e-001, 3.00456512e+002
5.43272719e-002, -2.54672430e-002, 1.75472692e-001, 3.01164825e+002
5.33609986e-002, -2.74340753e-002, 1.73508406e-001, 3.00208588e+002
5.33608980e-002, -2.74343863e-002, 1.75472692e-001, 3.01325439e+002
5.52212819e-002, -2.34657247e-002, 1.69579834e-001, 3.00569550e+002
5.43274246e-002, -2.54668090e-002, 1.69579834e-001, 3.00623260e+002
5.33610694e-002, -2.74339374e-002, 1.69579834e-001, 3.00665924e+002
5.12161367e-002, -3.12558115e-002, 1.57794118e-001, 3.01461212e+002
5.23235351e-002, -2.93644201e-002, 1.57794118e-001, 3.01462555e+002
5.23235351e-002, -2.93644220e-002, 1.59758404e-001, 3.01485687e+002
5.12161404e-002, -3.12558077e-002, 1.59758404e-001, 3.01481689e+002
5.23235351e-002, -2.93644201e-002, 1.55829832e-001, 3.01389618e+002
5.12161367e-002, -3.12558152e-002, 1.55829832e-001, 3.01390961e+002
5.52213192e-002, -2.34656334e-002, 1.57794118e-001, 3.01298492e+002
5.52213155e-002, -2.34656502e-002, 1.59758404e-001, 3.01332245e+002
5.43274656e-002, -2.54667234e-002, 1.57794118e-001, 3.01371307e+002
5.43274581e-002, -2.54667327e-002, 1.59758404e-001, 3.01395142e+002
5.33611067e-002, -2.74338592e-002, 1.57794118e-001, 3.01430145e+002
5.33611029e-002, -2.74338666e-002, 1.59758404e-001, 3.01452942e+002
5.52213341e-002, -2.34656036e-002, 1.53865546e-001, 3.01157684e+002
5.52213266e-002, -2.34656185e-002, 1.55829832e-001, 3.01224670e+002
5.43274730e-002, -2.54667010e-002, 1.53865546e-001, 3.01222809e+002
5.43274693e-002, -2.54667122e-002, 1.55829832e-001, 3.01292542e+002
5.33611141e-002, -2.74338480e-002, 1.53865546e-001, 3.01275818e+002
5.33611104e-002, -2.74338536e-002, 1.55829832e-001, 3.01352295e+002
5.23235351e-002, -2.93644201e-002, 1.53865546e-001, 3.01307587e+002
5.96405305e-002, -6.56190142e-003, 1.67615548e-001, 3.00840057e+002
5.93610629e-002, -8.73573497e-003, 1.65651262e-001, 3.00988983e+002
5.96405268e-002, -6.56192284e-003, 1.65651262e-001, 3.01056549e+002
5.93610667e-002, -8.73571169e-003, 1.67615548e-001, 3.00781525e+002
5.90023994e-002, -1.08978562e-002, 1.65651262e-001, 3.00939209e+002
5.96405268e-002, -6.56194007e-003, 1.63686976e-001, 3.01229523e+002
5.93610592e-002, -8.73576850e-003, 1.61722690e-001, 3.01251587e+002
5.96405230e-002, -6.56195125e-003, 1.61722690e-001, 3.01314880e+002
5.93610592e-002, -8.73575546e-003, 1.63686976e-001, 3.01158661e+002
5.90023920e-002, -1.08978925e-002, 1.61722690e-001, 3.01196686e+002
5.90023957e-002, -1.08978786e-002, 1.63686976e-001, 3.01101532e+002
5.98404147e-002, -4.37931903e-003, 1.67615548e-001, 3.00906860e+002
5.98404147e-002, -4.37933393e-003, 1.65651262e-001, 3.01132843e+002
5.98404147e-002, -4.37934557e-003, 1.63686976e-001, 3.01301544e+002
6.00004867e-002, 4.98398890e-007, 1.67615548e-001, 3.00982025e+002
5.99604547e-002, -2.19088094e-003, 1.65651262e-001, 3.01186127e+002
6.00004867e-002, 4.98398890e-007, 1.65651262e-001, 3.01206268e+002
5.99604547e-002, -2.19087279e-003, 1.67615548e-001, 3.00959381e+002
6.00004867e-002, 4.98398890e-007, 1.63686976e-001, 3.01374542e+002
